Metric,Mean,Std,Min,Max,Median,Count
ROUGE1,29.9900,6.6100,24.5834,46.4248,27.4891,21
ROUGE2,4.9300,2.8900,3.1627,12.2495,3.7484,21
ROUGEL,17.0200,2.3900,13.6326,21.0873,17.2255,21
ROUGELSUM,27.7200,6.3300,21.8453,43.2109,25.4511,21
